branch,item,division,group,category,qty,amount,item_share,item_rank,attach_tendency,beverage_opportunity_flag
Conut - Tyre,LOTUS SPREAD CHIMNEY,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,core_food,11.0,1966621.6,0.000357,65,0.001438,True
Conut - Tyre,WHITE CHOCOLATE SPREAD CHIMNEY,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,core_food,2.0,357567.56,6.5e-05,97,0.000261,True
Conut - Tyre,PISTACHIO SPREAD CHIMNEY,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,core_food,2.0,476756.75,8.7e-05,91,0.000261,True
Conut - Tyre,CRUSHED OREO (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,1.0,90054.05,1.6e-05,109,0.000131,True
Conut - Tyre,BROWNIES (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,8.0,720432.42,0.000131,85,0.001046,True
Conut - Tyre,CRISPY CREPE (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,1.0,90054.05,1.6e-05,109,0.000131,True
Conut - Tyre,STRAWBERRIES (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,17.0,1530918.89,0.000278,74,0.002222,True
Conut - Tyre,BLUEBERRIES (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,2.0,238378.38,4.3e-05,102,0.000261,True
Conut - Tyre,RASPBERRIES (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,3.0,357567.56,6.5e-05,97,0.000392,True
Conut - Tyre,SPRINKLES (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,4.0,360216.21,6.5e-05,96,0.000523,True
Conut - Tyre,DARK CHOCOLATE SAUCE (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,1.0,90054.05,1.6e-05,109,0.000131,True
Conut - Tyre,CARAMEL SAUCE (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,1.0,90054.05,1.6e-05,109,0.000131,True
Conut - Tyre,PASSION FRUIT SAUCE (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,2.0,238378.38,4.3e-05,102,0.000261,True
Conut - Tyre,SALTED CARAMEL SAUCE (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,1.0,90054.05,1.6e-05,109,0.000131,True
Conut - Tyre,NUTELLA SAUCE (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,3.0,270162.16,4.9e-05,100,0.000392,True
Conut - Tyre,PISTACHIO SAUCE (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,1.0,119189.19,2.2e-05,108,0.000131,True
Conut - Tyre,"WHITE CHOCOLATE SAUCE, (R)",MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,1.0,90054.05,1.6e-05,109,0.000131,True
Conut - Tyre,LOTUS SAUCE (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,1.0,90054.05,1.6e-05,109,0.000131,True
Conut - Tyre,FRUIT LOOPS (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,1.0,90054.05,1.6e-05,109,0.000131,True
Conut - Tyre,CHERRY JAM (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,2.0,238378.38,4.3e-05,102,0.000261,True
Conut - Tyre,GUMMY BEARS (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,1.0,90054.05,1.6e-05,109,0.000131,True
Conut - Tyre,MARSHMALLOWS (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,6.0,540324.31,9.8e-05,89,0.000784,True
Conut - Tyre,CRUSHED OREO.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,30.0,5363513.44,0.000974,49,0.003921,True
Conut - Tyre,CRUSHED LOTUS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,14.0,2502972.94,0.000455,62,0.00183,True
Conut - Tyre,CRISPY CREPE.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,4.0,715135.13,0.00013,86,0.000523,True
Conut - Tyre,BROWNIES.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,36.0,6436216.13,0.001169,47,0.004705,True
Conut - Tyre,STRAWBERRY.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,168.0,30035675.28,0.005455,29,0.021958,True
Conut - Tyre,SPRINKLES.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,8.0,1430270.25,0.00026,76,0.001046,True
Conut - Tyre,BLUEBERRIES.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,43.0,10250270.13,0.001862,38,0.00562,True
Conut - Tyre,RASPBERRIES.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,15.0,3575675.63,0.000649,53,0.001961,True
Conut - Tyre,PEANUT BUTTER CUPS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,2.0,476756.75,8.7e-05,91,0.000261,True
Conut - Tyre,DARK CHOCOLATE SAUCE.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,9.0,1609054.03,0.000292,72,0.001176,True
Conut - Tyre,NUTELLA SAUCE.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,65.0,11620945.79,0.002111,37,0.008496,True
Conut - Tyre,LOTUS SAUCE.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,19.0,3396891.85,0.000617,54,0.002483,True
Conut - Tyre,WHIPPED  CREAM.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,8.0,1907027.0,0.000346,66,0.001046,True
Conut - Tyre,CARAMEL SAUCE.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,4.0,715135.13,0.00013,86,0.000523,True
Conut - Tyre,PISTACHIO SAUCE.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,25.0,5959459.38,0.001082,48,0.003268,True
Conut - Tyre,DARK CHOCOLATE CHIPS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,8.0,1907027.0,0.000346,66,0.001046,True
Conut - Tyre,FRUIT LOOPS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,5.0,893918.91,0.000162,81,0.000654,True
Conut - Tyre,GRANOLA BERRIES.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,2.0,476756.75,8.7e-05,91,0.000261,True
Conut - Tyre,RASPBERRY JAM.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,1.0,238378.38,4.3e-05,102,0.000131,True
Conut - Tyre,CHERRY JAM.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,1.0,238378.38,4.3e-05,102,0.000131,True
Conut - Tyre,GUMMY BEARS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,16.0,2860540.5,0.00052,59,0.002091,True
Conut - Tyre,MARSHMALLOWS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,29.0,5184729.66,0.000942,50,0.00379,True
Conut - Tyre,SALTED PRETZELS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,2.0,357567.56,6.5e-05,97,0.000261,True
Conut - Tyre,NUTELLA DIP (R),EXTRA DIP,EXTRA DIP,core_food,6.0,715135.13,0.00013,86,0.000784,True
Conut - Tyre,LOTUS DIP (R),EXTRA DIP,EXTRA DIP,core_food,1.0,119189.19,2.2e-05,108,0.000131,True
Conut - Tyre,WHITE CHOCOLATE DIP (R),EXTRA DIP,EXTRA DIP,core_food,2.0,238378.38,4.3e-05,102,0.000261,True
Conut - Tyre,CARAMEL DIP (R),EXTRA DIP,EXTRA DIP,core_food,2.0,238378.38,4.3e-05,102,0.000261,True
Conut - Tyre,DARK CHOCOLATE DIP (R),EXTRA DIP,EXTRA DIP,core_food,3.0,357567.56,6.5e-05,97,0.000392,True
Conut - Tyre,PISTACHIO DIP (P),EXTRA DIP,EXTRA DIP,core_food,5.0,1191891.88,0.000216,78,0.000654,True
Conut - Tyre,RASPBERRY JAM DIP (P),EXTRA DIP,EXTRA DIP,core_food,1.0,238378.38,4.3e-05,102,0.000131,True
Conut - Tyre,CHERRY JAM DIP (P),EXTRA DIP,EXTRA DIP,core_food,2.0,476756.75,8.7e-05,91,0.000261,True
Conut - Tyre,PISTACHIO SPREAD MINI.,free mini spread,FREE MINI SPREAD,core_food,4.0,121837.83,2.2e-05,107,0.000523,True
Conut - Tyre,"BLUEBERRIES, (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,58.0,1766648.59,0.000321,70,0.007581,True
Conut - Tyre,WHIPPED CREAM . (P),FREE CONUT TOP,FREE CONUT TOP,core_food,8.0,243675.67,4.4e-05,101,0.001046,True
Conut - Tyre,"RASPBERRIES, (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,15.0,456891.88,8.3e-05,92,0.001961,True
Conut - Tyre,"DARK CHOCOLATE CHIPS, (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,25.0,761486.46,0.000138,84,0.003268,True
Conut - Tyre,"GRANOLA BERRIES, (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,22.0,670108.08,0.000122,87,0.002875,True
Conut - Tyre,"PEANUT BUTTER CUP , (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,4.0,121837.83,2.2e-05,107,0.000523,True
Conut - Tyre,PISTACHIO SAUCE . (P),FREE CONUT TOP,FREE CONUT TOP,core_food,95.0,2893648.55,0.000526,58,0.012417,True
Conut - Tyre,"PASSION FRUITS SAUCE ,(P)",FREE CONUT TOP,FREE CONUT TOP,core_food,9.0,274135.13,5e-05,99,0.001176,True
Conut - Tyre,"RASPBERRY JAM , (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,13.0,395972.96,7.2e-05,94,0.001699,True
Conut - Tyre,"CHERRY JAM, (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,6.0,182756.75,3.3e-05,104,0.000784,True
Conut - Tyre,SWITCH TO ICE CREAM,FREE CONUT TOP,FREE CONUT TOP,core_food,20.0,7151351.26,0.001299,45,0.002614,True
Conut - Tyre,"BLUEBERRIES , (P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,27.0,1609054.03,0.000292,72,0.003529,True
Conut - Tyre,"RASPBERRIES ,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,4.0,238378.38,4.3e-05,102,0.000523,True
Conut - Tyre,"DARK CHOCOLATE CHIPS ,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,7.0,417162.16,7.6e-05,93,0.000915,True
Conut - Tyre,"GRANOLA BERRIES ,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,1.0,59594.59,1.1e-05,111,0.000131,True
Conut - Tyre,"WHIPPED CREAM,",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,3.0,178783.78,3.2e-05,106,0.000392,True
Conut - Tyre,"PISTACHIO SAUCE ,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,63.0,3754459.41,0.000682,52,0.008234,True
Conut - Tyre,"PASSION FRUIT SAUCE,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,1.0,59594.59,1.1e-05,111,0.000131,True
Conut - Tyre,"RASPBERRY JAM,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,4.0,238378.38,4.3e-05,102,0.000523,True
Conut - Tyre,"CHERRY JAM ,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,2.0,119189.19,2.2e-05,108,0.000261,True
Conut - Tyre,"SWITCH TO ICE CREAM,",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,7.0,1668648.63,0.000303,71,0.000915,True
Conut - Tyre,BLUEBERRIES .(P),FREE MINI TOP,FREE MINI TOP,core_food,9.0,243675.67,4.4e-05,101,0.001176,True
Conut - Tyre,RASPBERRIES .(P),FREE MINI TOP,FREE MINI TOP,core_food,2.0,60918.92,1.1e-05,110,0.000261,True
Conut - Tyre,DARK CHOCOLATE CHIPS .(P),FREE MINI TOP,FREE MINI TOP,core_food,7.0,213216.21,3.9e-05,103,0.000915,True
Conut - Tyre,GRANOLA BERRIES .(P),FREE MINI TOP,FREE MINI TOP,core_food,0.0,0.0,0.0,113,0.0,True
Conut - Tyre,"WHIPPED CREAM ,(P)",FREE MINI TOP,FREE MINI TOP,core_food,1.0,30459.46,6e-06,112,0.000131,True
Conut - Tyre,"PISTACHIO SAUCE,(P)",FREE MINI TOP,FREE MINI TOP,core_food,27.0,791945.92,0.000144,82,0.003529,True
Conut - Tyre,CHERRY JAM .(P),FREE MINI TOP,FREE MINI TOP,core_food,2.0,30459.46,6e-06,112,0.000261,True
Conut - Tyre,switch to ice cream.,FREE MINI TOP,FREE MINI TOP,core_food,4.0,1430270.25,0.00026,76,0.000523,True
Conut - Tyre,CHERRY JAM DIP.(P),free dip,free dip,core_food,3.0,357567.56,6.5e-05,97,0.000392,True
Conut - Tyre,PISTACHIO DIP.(P),free dip,free dip,core_food,3.0,357567.56,6.5e-05,97,0.000392,True
Conut - Tyre,PASSION FRUITS DIP.(P),free dip,free dip,core_food,2.0,238378.38,4.3e-05,102,0.000261,True
Conut - Tyre,TOASTED MARSHMALLOWS,MARSHMALLOW OPTIONS,MARSHMALLOW OPTIONS,core_food,2.0,238378.38,4.3e-05,102,0.000261,True
Conut - Tyre,HOT CHOCOLATE,CONUT''S FAVORITE,CONUT''S FAVORITE,core_food,4.0,1907027.0,0.000346,66,0.000523,True
Conut - Tyre,MATCHA LATTE,CONUT''S FAVORITE,CONUT''S FAVORITE,core_food,3.0,1787837.86,0.000325,68,0.000392,True
Conut - Tyre,AFFOGATO,CONUT''S FAVORITE,CONUT''S FAVORITE,core_food,1.0,536351.34,9.7e-05,90,0.000131,True
Conut,AMERICAN COFFEE,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,3.0,1072702.69,0.000244,76,0.000446,False
Conut,CAPPUCCINO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,3.0,1251486.47,0.000285,71,0.000446,False
Conut,CAFFE LATTE,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,19.0,7926080.98,0.001805,34,0.002827,False
Conut,CAFE MOCHA,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,9.0,4564946.01,0.00104,43,0.001339,False
Conut,CARAMEL MACHIATO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,5.0,2681756.72,0.000611,52,0.000744,False
Conut,CAFFE AMERICANO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,16.0,4264324.26,0.000971,45,0.002381,False
Conut,SINGLE ESPRESSO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,7.0,1668648.63,0.00038,62,0.001042,False
Conut,DOUBLE ESPRESSO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,31.0,10181405.25,0.002318,31,0.004613,False
Conut,WHITE MOCHA,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,4.0,2028864.89,0.000462,58,0.000595,False
Conut,FLAT WHITE,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,3.0,1164081.06,0.000265,73,0.000446,False
Conut,WHIPPED CREAM,Bev Add-ons,Bev Add-ons,core_food,4.0,476756.75,0.000109,89,0.000595,True
Conut,"CARAMEL  SAUCE,",Bev Add-ons,Bev Add-ons,core_food,4.0,360216.21,8.2e-05,93,0.000595,True
Conut,VANILLA SYRUP,Bev Add-ons,Bev Add-ons,core_food,3.0,270162.16,6.2e-05,97,0.000446,True
Conut,EXTRA ESPRESSO SHOT,Bev Add-ons,Bev Add-ons,core_food,1.0,90054.05,2.1e-05,106,0.000149,True
Conut,MOCHA FRAPPE,Frappes,Frappes,coffee_cold,14.0,7508918.82,0.00171,35,0.002083,False
Conut,CARAMEL MOCHA FRAPPE,Frappes,Frappes,coffee_cold,3.0,1609054.03,0.000366,63,0.000446,False
